winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-23156.0,-23156.0,-23140.0,-23172.0,0.5,16.0,-16.0
ref,sup4_t0.7,-564.8308521167555,-5993.1411032066735,-564.8308521135555,-5993.141103209873,0.9999999999,3.200057108188048e-09,-3.1996023608371615e-09
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-24596.0,-24596.0,-24580.0,-24612.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-25620.0,-25620.0,-25604.0,-25636.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-26564.0,-26564.0,-26548.0,-26580.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-26388.0,-26388.0,-26372.0,-26404.0,0.5,16.0,-16.0
sup4_t0.7,ref,-6233.14110339225,-1204.8308519311522,-6201.14110339545,-1236.8308519279522,9.999999999e-11,31.999999996800398,-31.999999996799943
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-28340.0,-28340.0,-28324.0,-28356.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-29492.0,-29492.0,-29476.0,-29508.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-28212.0,-28212.0,-28196.0,-28228.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-30756.0,-30756.0,-30740.0,-30772.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-30132.0,-30132.0,-30116.0,-30148.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-32516.0,-32516.0,-32500.0,-32532.0,0.5,16.0,-16.0
