player,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,elo_rating,combined_score
sup4_ppo_rm3_kl6,0.1839144751926428,0.8087317284961901,0.10536329297323471,0.08636093674494745,0.3818695265214608,0.04946281683177435,0.13804603497008475,0.605241714963829,0.07913605464107229,1763.794133024458,0.2709029534816929
sup4_6b_ppo_rm4_6b_kl14,0.09316880317294794,0.923366636675525,0.04969450819686916,0.05734928562003806,0.5772276605288752,0.03057626412839843,0.07583384104339207,0.7407343678594757,0.040499341711529795,1653.7572823463686,0.287605634326339
ref,0.15590389546857378,0.7489936646608534,0.08847543440428844,0.056888048511017,0.27896145805935185,0.03220681262889028,0.1081937544607594,0.5231097205498383,0.061345066439340505,1639.6122568715737,0.22823087279810142
sup4_ppo_rm3_kl22,0.17805089581969902,0.7407551271068805,0.10300119941716658,0.07569145180174594,0.30994546770261017,0.043920966501480724,0.13134697286199748,0.5463531294717378,0.07601143509527367,1638.0178475318799,0.2450085161976213
sup4_ppo_rm3_kl9,0.1818797373472972,0.7835196774890996,0.10448037427469344,0.08213343558918218,0.35814775452867775,0.04710897753875597,0.13519443004066464,0.583487744420554,0.0776498580524098,1590.6556994003902,0.2615113321423705
sup4_ppo_rm3_kl69,0.14673515646149904,0.585065950304839,0.08522013074180548,0.04809957732051229,0.19075981097501626,0.02796509331550483,0.10687855318973936,0.42469760663562794,0.0621061575963713,1557.360064256425,0.1863920040601017
sup4_ppo_rm3_kl10,0.1847173851267871,0.7784962295234427,0.10666140463047645,0.08239772593251643,0.3492789135577534,0.047518367858921044,0.13654051822881852,0.5758351777238098,0.07881278641484064,1544.5022194089768,0.26002872322192955
human_editor,0.12488090276706801,0.746093599495134,0.06871758900322618,0.059196959840780175,0.3534632034632034,0.03254353173176248,0.09835356270566857,0.579205057517078,0.05417549162655273,1541.2637898756468,0.23518109979449703
sup4_ppo_rm3_kl2,0.17773161671848664,0.811907106966074,0.10160679462161998,0.08055845147693533,0.37293627749187647,0.045978706650463774,0.1319874039871189,0.6040156708089847,0.07544965392784099,1517.869595011687,0.2669079647388223
sup4_t0.7,0.16690293661556374,0.7915319294302745,0.09508819416488072,0.07253237432525042,0.3457682883434517,0.041357745440293935,0.12239976620201358,0.5816658370195352,0.06973867944188053,1395.276115329457,0.254109527887016
pretrain_6b_t.7,0.07680130771547737,0.8781485348771058,0.040689720781824125,0.05572061207749274,0.6625236829303509,0.029462761886495208,0.06722030893204031,0.7699789026346072,0.03561349479643704,1393.0195730401651,0.290684369625759
sup4_6b_t0.7,0.07152739448832392,0.8861789691912535,0.03766726114719185,0.037954896348701514,0.49001125306486754,0.019946125400331163,0.05709658425312595,0.7200248992258219,0.03005482411743882,1332.2475820500078,0.26116246747078403
sup4_ppo_rm3_kl260,0.05693674701343286,0.23762525832244996,0.032847470665234434,0.004879258734545618,0.01974434530535687,0.002825485646019609,0.03999656044332399,0.16724734879737757,0.023063442619632685,932.6238418529573,0.0650184352830415
