winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
sup1,sup1,1500.0,1500.0,1516.0,1484.0,0.5,16.0,-16.0
ref,sup1,1500.0,1484.0,1515.263693206478,1468.736306793522,0.5230095872975623,15.26369320647791,-15.26369320647791
ref,sup1,1515.263693206478,1468.736306793522,1529.133745263401,1454.866254736599,0.5665608732211552,13.870052056922987,-13.870052056922987
sup1,sup1,1454.866254736599,1454.866254736599,1470.866254736599,1438.866254736599,0.5,16.0,-16.0
ref,sup1,1529.133745263401,1438.866254736599,1541.0678494786396,1426.9321505213604,0.6270592432737903,11.934104215238676,-11.934104215238676
sup1,sup1,1426.9321505213604,1426.9321505213604,1442.9321505213604,1410.9321505213604,0.5,16.0,-16.0
ref,sup1,1541.0678494786396,1410.9321505213604,1551.3402589195525,1400.6597410804475,0.6789872049714731,10.272409440912952,-10.272409440912952
sup1,sup1,1400.6597410804475,1400.6597410804475,1416.6597410804475,1384.6597410804475,0.5,16.0,-16.0
sup1,sup1,1384.6597410804475,1384.6597410804475,1400.6597410804475,1368.6597410804475,0.5,16.0,-16.0
ref,sup1,1551.3402589195525,1368.6597410804475,1559.6256734692488,1360.3743265307512,0.7410807953219946,8.28541454969627,-8.28541454969627
sup1,ref,1360.3743265307512,1559.6256734692488,1384.6610276383976,1535.3389723616024,0.24104059038605014,24.286701107646422,-24.286701107646422
sup1,sup1,1384.6610276383976,1384.6610276383976,1400.6610276383976,1368.6610276383976,0.5,16.0,-16.0
ref,sup1,1535.3389723616024,1368.6610276383976,1544.2024362147042,1359.7975637852958,0.7230167545905655,8.863463853101848,-8.863463853101848
ref,sup1,1544.2024362147042,1359.7975637852958,1552.4270483970897,1351.5729516029103,0.7429808693004506,8.2246121823855,-8.2246121823855
sup1,sup1,1351.5729516029103,1351.5729516029103,1367.5729516029103,1335.5729516029103,0.5,16.0,-16.0
sup1,sup1,1335.5729516029103,1335.5729516029103,1351.5729516029103,1319.5729516029103,0.5,16.0,-16.0
ref,sup1,1552.4270483970897,1319.5729516029103,1559.0651817505222,1312.9348182494778,0.792558332705237,6.638133353432522,-6.638133353432522
ref,sup1,1559.0651817505222,1312.9348182494778,1565.3102188172495,1306.6897811827505,0.8048425916647712,6.245037066727264,-6.245037066727264
sup1,sup1,1306.6897811827505,1306.6897811827505,1322.6897811827505,1290.6897811827505,0.5,16.0,-16.0
sup1,sup1,1290.6897811827505,1290.6897811827505,1306.6897811827505,1274.6897811827505,0.5,16.0,-16.0
sup1,sup1,1274.6897811827505,1274.6897811827505,1290.6897811827505,1258.6897811827505,0.5,16.0,-16.0
sup1,ref,1258.6897811827505,1565.3102188172495,1286.0126899827897,1537.9873100172103,0.14615909999877824,27.32290880003916,-27.32290880003916
ref,sup1,1537.9873100172103,1286.0126899827897,1544.064984206072,1279.935015793928,0.8100726815980739,6.0776741888616925,-6.0776741888616925
sup1,sup1,1279.935015793928,1279.935015793928,1295.935015793928,1263.935015793928,0.5,16.0,-16.0
ref,sup1,1544.064984206072,1263.935015793928,1549.3844661286453,1258.6155338713547,0.8337661899195875,5.319481922573232,-5.319481922573232
ref,sup1,1549.3844661286453,1258.6155338713547,1554.4378462282816,1253.5621537717184,0.8420818718863632,5.0533800996363425,-5.0533800996363425
sup1,sup1,1253.5621537717184,1253.5621537717184,1269.5621537717184,1237.5621537717184,0.5,16.0,-16.0
sup1,sup1,1237.5621537717184,1237.5621537717184,1253.5621537717184,1221.5621537717184,0.5,16.0,-16.0
sup1,sup1,1221.5621537717184,1221.5621537717184,1237.5621537717184,1205.5621537717184,0.5,16.0,-16.0
sup1,ref,1205.5621537717184,1554.4378462282816,1233.775424897154,1526.224575102846,0.11833527733014094,28.21327112543554,-28.21327112543554
sup1,sup1,1233.775424897154,1233.775424897154,1249.775424897154,1217.775424897154,0.5,16.0,-16.0
sup1,ref,1217.775424897154,1526.224575102846,1245.1402164546503,1498.8597835453497,0.144850263828236,27.364791557496346,-27.364791557496346
sup1,sup1,1245.1402164546503,1245.1402164546503,1261.1402164546503,1229.1402164546503,0.5,16.0,-16.0
sup1,sup1,1229.1402164546503,1229.1402164546503,1245.1402164546503,1213.1402164546503,0.5,16.0,-16.0
ref,sup1,1498.8597835453497,1213.1402164546503,1504.0380853005822,1207.9619146994178,0.8381780701489832,5.178301755232496,-5.178301755232496
ref,sup1,1504.0380853005822,1207.9619146994178,1508.9628147685112,1203.0371852314888,0.8461022041272235,4.924729467928955,-4.924729467928955
ref,sup1,1508.9628147685112,1203.0371852314888,1513.6559011011013,1198.3440988988987,0.853341052106557,4.6930863325901555,-4.6930863325901555
sup1,sup1,1198.3440988988987,1198.3440988988987,1214.3440988988987,1182.3440988988987,0.5,16.0,-16.0
sup1,sup1,1182.3440988988987,1182.3440988988987,1198.3440988988987,1166.3440988988987,0.5,16.0,-16.0
ref,sup1,1513.6559011011013,1166.3440988988987,1517.472789290892,1162.527210709108,0.8807222440690426,3.8168881897906886,-3.8168881897906886
ref,sup1,1517.472789290892,1162.527210709108,1521.1444097858498,1158.8555902141502,0.8852618595325673,3.6716204949577786,-3.6716204949577786
sup1,sup1,1158.8555902141502,1158.8555902141502,1174.8555902141502,1142.8555902141502,0.5,16.0,-16.0
ref,sup1,1521.1444097858498,1142.8555902141502,1524.4013578324727,1139.5986421675273,0.8982203735430351,3.256948046622938,-3.256948046622938
sup1,sup1,1139.5986421675273,1139.5986421675273,1155.5986421675273,1123.5986421675273,0.5,16.0,-16.0
sup1,sup1,1123.5986421675273,1123.5986421675273,1139.5986421675273,1107.5986421675273,0.5,16.0,-16.0
ref,sup1,1524.4013578324727,1107.5986421675273,1527.064570025241,1104.935429974759,0.9167746189759935,2.663212192768242,-2.663212192768242
sup1,sup1,1104.935429974759,1104.935429974759,1120.935429974759,1088.935429974759,0.5,16.0,-16.0
ref,sup1,1527.064570025241,1088.935429974759,1529.442973912254,1086.557026087746,0.925674878530843,2.3784038870130644,-2.3784038870130644
sup1,sup1,1086.557026087746,1086.557026087746,1102.557026087746,1070.557026087746,0.5,16.0,-16.0
ref,sup1,1529.442973912254,1070.557026087746,1531.5713298355245,1068.4286701644755,0.9334888773978025,2.1283559232704192,-2.1283559232704192
ref,sup1,1531.5713298355245,1068.4286701644755,1533.6515161535197,1066.3484838464803,0.9349941775626521,2.080186317995185,-2.080186317995185
sup1,sup1,1066.3484838464803,1066.3484838464803,1082.3484838464803,1050.3484838464803,0.5,16.0,-16.0
sup1,sup1,1050.3484838464803,1050.3484838464803,1066.3484838464803,1034.3484838464803,0.5,16.0,-16.0
sup1,sup1,1034.3484838464803,1034.3484838464803,1050.3484838464803,1018.3484838464803,0.5,16.0,-16.0
ref,sup1,1533.6515161535197,1018.3484838464803,1535.2185785688025,1016.7814214311975,0.9510292995224121,1.5670624152828623,-1.5670624152828623
ref,sup1,1535.2185785688025,1016.7814214311975,1536.7589711177054,1015.2410288822946,0.951862732846786,1.5403925489029007,-1.5403925489029007
sup1,sup1,1015.2410288822946,1015.2410288822946,1031.2410288822946,999.2410288822946,0.5,16.0,-16.0
sup1,ref,999.2410288822946,1536.7589711177054,1029.8539232433848,1506.1460767566152,0.04334705121593389,30.612894361090184,-30.612894361090184
ref,sup1,1506.1460767566152,1029.8539232433848,1508.0837988939136,1027.9162011060864,0.9394461832094265,1.9377221372983513,-1.9377221372983513
sup1,sup1,1027.9162011060864,1027.9162011060864,1043.9162011060864,1011.9162011060864,0.5,16.0,-16.0
sup1,sup1,1011.9162011060864,1011.9162011060864,1027.9162011060864,995.9162011060864,0.5,16.0,-16.0
sup1,ref,995.9162011060864,1508.0837988939136,1026.3220198177073,1477.6779801822927,0.04981816526185004,30.405818711620896,-30.405818711620896
sup1,ref,1026.3220198177073,1477.6779801822927,1056.10590884468,1447.89409115532,0.06925346790710557,29.7838890269727,-29.7838890269727
sup1,sup1,1056.10590884468,1056.10590884468,1072.10590884468,1040.10590884468,0.5,16.0,-16.0
sup1,sup1,1040.10590884468,1040.10590884468,1056.10590884468,1024.10590884468,0.5,16.0,-16.0
ref,sup1,1447.89409115532,1024.10590884468,1450.4607552270252,1021.5392447729749,0.9197917477592154,2.5666640717051905,-2.566664071705077
ref,sup1,1450.4607552270252,1021.5392447729749,1452.9585179267117,1019.0414820732885,0.9219449156347989,2.4977626996865183,-2.4977626996864046
sup1,sup1,1019.0414820732885,1019.0414820732885,1035.0414820732885,1003.0414820732885,0.5,16.0,-16.0
sup1,sup1,1003.0414820732885,1003.0414820732885,1019.0414820732885,987.0414820732885,0.5,16.0,-16.0
ref,sup1,1452.9585179267117,987.0414820732885,1455.0078570014855,984.9921429985147,0.9359581539133203,2.0493390747737976,-2.0493390747737976
ref,sup1,1455.0078570014855,984.9921429985147,1457.0124035544736,982.9875964455266,0.937357920219121,2.0045465529881312,-2.0045465529881312
sup1,sup1,982.9875964455266,982.9875964455266,998.9875964455266,966.9875964455266,0.5,16.0,-16.0
sup1,sup1,966.9875964455266,966.9875964455266,982.9875964455266,950.9875964455266,0.5,16.0,-16.0
sup1,ref,950.9875964455266,1457.0124035544736,981.3389913507666,1426.6610086492335,0.051518909211249866,30.35139490524,-30.351394905240113
ref,sup1,1426.6610086492335,981.3389913507666,1428.9498443931661,979.0501556068339,0.9284738830021024,2.288835743932623,-2.2888357439327365
sup1,sup1,979.0501556068339,979.0501556068339,995.0501556068339,963.0501556068339,0.5,16.0,-16.0
sup1,sup1,963.0501556068339,963.0501556068339,979.0501556068339,947.0501556068339,0.5,16.0,-16.0
ref,sup1,1428.9498443931661,947.0501556068339,1430.8296321058199,945.1703678941801,0.9412566339795719,1.8797877126537514,-1.8797877126537514
sup1,ref,945.1703678941801,1430.8296321058199,975.3285087891327,1400.6714912108673,0.057558097032734,30.158140894952567,-30.158140894952567
sup1,sup1,975.3285087891327,975.3285087891327,991.3285087891327,959.3285087891327,0.5,16.0,-16.0
sup1,sup1,959.3285087891327,959.3285087891327,975.3285087891327,943.3285087891327,0.5,16.0,-16.0
ref,sup1,1400.6714912108673,943.3285087891327,1402.817561997084,941.1824380029158,0.9329352879307223,2.1460707862167965,-2.14607078621691
ref,sup1,1402.817561997084,941.1824380029158,1404.91469068764,939.0853093123601,0.9344647284201337,2.0971286905557918,-2.097128690555678
sup1,sup1,939.0853093123601,939.0853093123601,955.0853093123601,923.0853093123601,0.5,16.0,-16.0
sup1,sup1,923.0853093123601,923.0853093123601,939.0853093123601,907.0853093123601,0.5,16.0,-16.0
ref,sup1,1404.91469068764,907.0853093123601,1406.6386447985976,905.3613552014025,0.9461264340325738,1.7239541109577203,-1.7239541109576066
ref,sup1,1406.6386447985976,905.3613552014025,1408.330510842338,903.6694891576622,0.9471291861331138,1.691866043740447,-1.6918660437403332
sup1,sup1,903.6694891576622,903.6694891576622,919.6694891576622,887.6694891576622,0.5,16.0,-16.0
sup1,sup1,887.6694891576622,887.6694891576622,903.6694891576622,871.6694891576622,0.5,16.0,-16.0
ref,sup1,1408.330510842338,871.6694891576622,1409.7241770080864,870.2758229919139,0.9564479323203644,1.3936661657483,-1.3936661657483
sup1,ref,870.2758229919139,1409.7241770080864,900.903388596132,1379.096611403868,0.0428885748681814,30.627565604218148,-30.627565604218262
sup1,sup1,900.903388596132,900.903388596132,916.903388596132,884.903388596132,0.5,16.0,-16.0
sup1,sup1,884.903388596132,884.903388596132,900.903388596132,868.903388596132,0.5,16.0,-16.0
sup1,ref,868.903388596132,1379.096611403868,899.2919030553347,1348.7080969446654,0.05035892314991456,30.388514459202725,-30.388514459202725
ref,sup1,1348.7080969446654,899.2919030553347,1350.9473508002854,897.0526491997147,0.930023317011874,2.2392538556200634,-2.2392538556200634
sup1,sup1,897.0526491997147,897.0526491997147,913.0526491997147,881.0526491997147,0.5,16.0,-16.0
sup1,sup1,881.0526491997147,881.0526491997147,897.0526491997147,865.0526491997147,0.5,16.0,-16.0
ref,sup1,1350.9473508002854,865.0526491997147,1352.786858747869,863.2131412521311,0.9425153766380137,1.83950794758357,-1.83950794758357
ref,sup1,1352.786858747869,863.2131412521311,1354.5899910847195,861.4100089152806,0.9436521144734242,1.8031323368504673,-1.8031323368504673
sup1,sup1,861.4100089152806,861.4100089152806,877.4100089152806,845.4100089152806,0.5,16.0,-16.0
sup1,sup1,845.4100089152806,845.4100089152806,861.4100089152806,829.4100089152806,0.5,16.0,-16.0
ref,sup1,1354.5899910847195,829.4100089152806,1356.0744595742042,827.9255404257959,0.953610359703604,1.4844684894846978,-1.4844684894846978
ref,sup1,1356.0744595742042,827.9255404257959,1357.534921264325,826.4650787356752,0.9543605721837268,1.4604616901208374,-1.4604616901207237
sup1,sup1,826.4650787356752,826.4650787356752,842.4650787356752,810.4650787356752,0.5,16.0,-16.0
sup1,sup1,810.4650787356752,810.4650787356752,826.4650787356752,794.4650787356752,0.5,16.0,-16.0
sup1,ref,794.4650787356752,1357.534921264325,825.2605631239466,1326.7394368760536,0.03764111286651998,30.795484388271348,-30.79548438827146
ref,sup1,1326.7394368760536,825.2605631239466,1328.4294444223938,823.5705555776063,0.9471872641768672,1.6900075463402118,-1.6900075463402118
sup1,sup1,823.5705555776063,823.5705555776063,839.5705555776063,807.5705555776063,0.5,16.0,-16.0
sup1,sup1,807.5705555776063,807.5705555776063,823.5705555776063,791.5705555776063,0.5,16.0,-16.0
ref,sup1,1328.4294444223938,791.5705555776063,1329.8215931055108,790.1784068944893,0.9564953536525908,1.3921486831170569,-1.3921486831170569
sup1,ref,790.1784068944893,1329.8215931055108,820.8074449735249,1299.1925550264752,0.04284256003013699,30.62903807903558,-30.62903807903558
sup1,sup1,820.8074449735249,820.8074449735249,836.8074449735249,804.8074449735249,0.5,16.0,-16.0
sup1,sup1,804.8074449735249,804.8074449735249,820.8074449735249,788.8074449735249,0.5,16.0,-16.0
ref,sup1,1299.1925550264752,788.8074449735249,1300.8023510134983,787.1976489865017,0.9496938754055267,1.6097959870230625,-1.6097959870231762
ref,sup1,1300.8023510134983,787.1976489865017,1302.3840477907795,785.6159522092204,0.9505719757099602,1.581696777281195,-1.5816967772813086
sup1,sup1,785.6159522092204,785.6159522092204,801.6159522092204,769.6159522092204,0.5,16.0,-16.0
