iteration,bleu,meteor,rouge1,rouge2,rougeL,verbatim,bleurt,correlation
1,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
2,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
3,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
4,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
5,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
6,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
7,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
8,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.400000
