iteration,participant,metric_rank,metric_score,elo_rank,elo_rating,correlation
1,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
1,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
1,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
1,ref,4,0.123227,67,-12283.90,0.400000
2,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
2,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
2,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
2,ref,4,0.123227,67,-12283.90,0.400000
3,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
3,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
3,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
3,ref,4,0.123227,67,-12283.90,0.400000
4,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
4,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
4,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
4,ref,4,0.123227,67,-12283.90,0.400000
5,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
5,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
5,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
5,ref,4,0.123227,67,-12283.90,0.400000
6,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
6,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
6,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
6,ref,4,0.123227,67,-12283.90,0.400000
7,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
7,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
7,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
7,ref,4,0.123227,67,-12283.90,0.400000
8,sup4_t0.7,1,0.159092,55,-4220.57,0.400000
8,sup4_ppo_rm3_kl10,2,0.139853,78,-99523.77,0.400000
8,sup4_ppo_rm3_kl20,3,0.131642,80,-111428.00,0.400000
8,ref,4,0.123227,67,-12283.90,0.400000
