Sample,bleu,bleurt,meteor,rouge,verbatim
0,0.6207522318391883,0.6207522318391883,0.33665016461206926,0.6207522318391883,0.3812632098959009
1,0.19920476822239896,0.378489059622558,0.6070371916503828,0.3074436614052591,0.0
2,-0.029880715233359844,0.5976143046671968,0.6390096504226938,-0.029880715233359844,0.0
3,-0.5477225575051661,-0.6330541649476574,0.3651483716701107,-0.6330541649476574,-0.5477225575051661
4,0.6155870112510925,0.14598864464670433,0.5865557254410011,0.5348008084903245,-0.13693063937629152
5,0.49295030175464954,0.5643840994967044,0.49295030175464954,0.7030047555134388,0.5643840994967044
6,0.5595979334261352,0.5718627694010401,0.5718627694010401,0.4485426135725302,-0.029880715233359844
7,0.5022413531476617,0.4894906940904388,-0.35983578576496095,0.5992041255245026,-0.026231153129350083
8,0.6149186938124422,0.16035674514745463,0.6149186938124422,0.6149186938124422,-0.223606797749979
9,0.6207522318391883,0.5022413531476617,0.7143109357936153,0.6207522318391883,0.45643546458763845
10,-0.6210590034081188,-0.6210590034081188,-0.6210590034081188,-0.6210590034081188,-0.5477225575051661
11,0.4257634434799699,0.41079191812887456,-0.03419927840283847,0.581387732848254,0.0
12,0.5933055656682091,0.00840365806816018,-0.6108840083916778,-0.33903175181040524,0.27386127875258304
13,0.5728379132475444,0.35054260362909434,-0.3162277660168379,0.5728379132475444,0.6210590034081188
14,0.7941977083824908,0.7826237921249264,0.41079191812887456,0.7941977083824908,0.0
15,0.7431505414602934,0.13693063937629152,0.8511922825582904,0.7431505414602934,0.27386127875258304
16,0.0,0.0,0.0,-0.13693063937629152,-0.13693063937629152
17,0.7270974040117562,0.7270974040117562,0.8385254915624212,0.7941977083824908,0.0
18,0.735284485661027,0.8831154886881195,0.8831154886881195,0.8831154886881195,0.40509574683346655
19,0.6832018046539052,0.6832018046539052,0.6832018046539052,0.6832018046539052,0.0
