llama2,llama3,mistral,Human1,Human2,Human3,Human4,Human5,Human6,Human7
911.7528553230992,1069.140508514439,1037.0102416553125,1034.104690757306,1034.6719778441409,1051.9362358077474,917.4009858091756,900.8054847261598,1069.6397932046098,973.5372263580094
1029.5299777565742,970.329772333541,1031.515572244091,892.2853525708886,1116.1092986226447,1002.822997536376,1007.978251844382,893.2674561255118,1029.4674553782395,1026.6938655877516
1024.8523543549816,891.7098464240718,952.2466846505456,915.1939391552768,1013.8441117644472,1030.654965551664,1074.018800279903,1072.2513490542726,987.6442399704936,1037.583708794344
1015.6360743267452,1047.5523813540797,1043.942990029855,930.7724954355596,1045.7820438187216,988.867714105341,1061.5029904840894,888.8540414630068,1008.5187454308124,968.5705235517898
900.1947165366357,918.8439273970451,922.947855580138,1080.4434756759654,956.0089242672426,1056.1124679735494,1018.7337686270758,1057.6052677982311,1098.6362412230571,990.4733549210596
878.5376288196815,956.446691889083,975.499404420652,1029.8752744919886,1016.2083131816244,1108.0907824650808,931.8914053243496,1009.144032338376,1076.6566004273366,1017.6498666418266
945.2603183572504,892.7304607085446,1001.9927047593076,986.9774244286132,1073.5252249709908,904.7965536238552,1117.2454704406691,987.2089706129876,1089.9432630863464,1000.3196090114352
958.5325215012292,890.639908968218,892.1920458003272,1100.59929806808,1016.6079884605996,1088.09365418379,1038.7494229688184,1014.7314156387824,1041.738699780664,958.1150446294912
1059.5918557225816,996.9278054026196,969.1390945788924,1023.3419826709006,1057.836703184814,1071.422562420837,982.754543305629,874.2198295715474,906.2254960369104,1058.540127105268
910.2911096291014,914.1469344092044,918.7807107200696,1064.497772608454,1053.87804902691,984.2611928813416,1123.2411459093605,1015.0712010571416,999.6602336808592,1016.1716500775576
984.8131248319272,1032.068294555512,979.976382347738,986.2074638784454,1018.2395766693458,998.8363929704416,984.0,998.6565414399496,1004.101775879928,1013.1004474267124
894.1186703577303,971.1498245053484,988.2811343587496,996.722884072894,973.8128435259918,1053.9278022007602,1093.4007011033896,893.2597360577626,1094.7641316093298,1040.5622722080436
959.6163167658556,907.0497532434568,918.2648377517388,973.9344117481098,1018.0318787377828,1093.988418945522,1070.0799428113644,1066.361940464067,1012.5804635226964,980.0920360094068
895.5035776193954,1065.1433829209814,1029.2987206811424,949.7358970076076,1031.3154524298095,969.0680052143118,984.6157508603296,1070.535423315143,1093.562901943932,911.2208880073476
942.206941978416,902.3526897795704,928.3131799508116,955.7227374392396,1083.5547085441392,1001.7859813147024,1069.965455216302,1060.2139850686829,1030.1039420971583,1025.7803786109776
878.0690191267349,967.8521701872576,932.1824471961604,1071.0767467031828,989.8614579111148,1036.935746135448,976.4819481798517,1026.7866282055554,1026.1206469828728,1094.6331893718216
1010.8599273389854,1080.5120143194802,1038.5079989471838,1017.9996602510944,909.114976643006,997.6406139589149,927.7589945689036,929.635144204004,1083.6449496458454,1004.3257201225824
992.6743674362268,1009.2261395964202,1043.5324326475184,949.9872163879036,890.0168973092509,999.9295681539624,1032.7409970659671,992.3643901889318,1065.8284161947868,1023.6995750190308
903.8647101845482,921.50793515836,890.6478004233891,996.982757470888,1036.9564245955478,1085.1890599707262,1037.8978559387535,1057.365287346668,1044.2821237335636,1025.306045177556
1013.8727418739808,1015.4367772154956,1042.175442282655,915.847700958253,878.9690545365465,1027.203236424515,1026.6482581574844,1025.1560001524772,1044.394993484789,1010.2957949138035
