Human1,Human2,Human3,Human4,Human5,Human6,Human7,llama2,llama3,mistral
-2.6110703109390356,3.984454498808205,6.07569011017537,0.7536176468553011,-1.7864022799024917,3.0623503591198533,-0.755249445395809,0.0,-1.2371159290303804,0.26409994597869446
0.0,7.96890899761641,1.9556509431561178,-0.3079325786555924,0.0,1.7643576462540378,-1.858497115375141,-0.32541474656718683,-0.8247439526869202,0.176066630652463
0.2197530663506948,3.129146099667993,4.3246022870870835,1.5072352937106022,-3.5728045598049833,2.004878496058912,-1.3101892897333103,-0.408171545175418,-0.9574670721615276,0.1755511788445808
-2.578387869108311,0.7092646506937847,0.411213320455256,1.5072352937106022,-2.1785339429841803,3.5287152925080756,-0.7235754001193183,-0.32541474656718683,0.13461322518315055,-0.3467738947103331
-0.38226649769766063,4.693719149501989,3.243451715315313,0.3503222554499036,-2.9465215950784254,3.0623503591198533,-2.281588508588072,0.0,-0.5307494424909488,-0.2303004524677181
-0.38634437041190706,0.0,12.15138022035074,-0.20528838577039488,-1.3635688550632699,0.8328267153402182,0.0,0.0,0.0,0.0
-1.9583027332042768,3.0488061564995292,2.0696182227541744,1.5072352937106022,-1.6339004572381355,1.3375467246851467,-0.5664370840468569,0.0,0.0,0.0
-3.9166054664085537,5.155657039171289,4.8806352199643275,0.07070028011667806,-2.203774221621429,1.270236911160247,-1.2640291331265632,-1.823358888858218,-0.40201662736343385,-0.34408756115707995
-0.9791513666021384,2.6563029992054696,12.15138022035074,0.1751611277249518,-1.6339004572381355,0.7655875897799633,-1.3385473256619658,-0.8581776161348136,-0.8247439526869202,0.176066630652463
-3.133284373126843,0.6304574672833642,0.51401665056907,1.5072352937106022,-3.1830599083018223,2.2830046155820187,-0.6026167989815425,-0.10847158218906224,0.15857287365957523,-0.3151084174254258
-1.9583027332042768,3.984454498808205,6.07569011017537,0.7536176468553011,-3.267800914476271,1.5311751795599267,-1.1328741680937138,-2.5745328484044414,-2.4742318580607607,0.5281998919573889
-0.5337760927377859,0.47284310046252315,3.7763178598134086,-0.06340413873819817,-1.465122960504646,3.0623503591198533,-0.46462427884378527,0.0,-0.5489623520137857,-0.17481779444867038
0.821292944338024,2.0562464037615893,12.599976569938292,-0.09040891401709594,-1.22482414719374,1.1283438012286844,-0.6679794258225865,-0.6942925472320063,-0.28565512983062447,-0.3569706287275547
2.521657976810586,3.1875635990465643,4.860552088140295,0.4203867065398843,-2.11321435979977,3.0623503591198533,-0.5013892871503998,-0.5614895224415789,-0.7253438034541491,0.05161509129578075
0.2197530663506948,7.96890899761641,2.5947988228074874,0.7536176468553011,-6.535601828952542,1.5311751795599267,-1.3385473256619658,-0.32541474656718683,0.13461322518315055,-0.3467738947103331
0.2197530663506948,0.7092646506937847,3.8921046078231383,0.5024117645702006,-6.535601828952542,0.11324191878076442,-2.2657483361874275,0.0,0.0,0.0
0.0,0.0,4.050460073450246,0.0,0.0,3.0623503591198533,0.0,-1.6004537546759403,0.0,0.0
0.0,0.0,0.411213320455256,1.5072352937106022,0.0,3.0623503591198533,-0.9292485576875705,0.7879994612445034,-1.2371159290303804,0.26409994597869446
-2.0132409997919503,3.5490309478894306,12.15138022035074,0.9487664674186593,-3.58094239683955,1.59634987311239,-1.0814558787016506,-0.0849697567047108,-0.41842428264145615,-0.28852346408063234
0.0,2.6563029992054696,6.07569011017537,1.5072352937106022,-3.267800914476271,3.0623503591198533,-1.1328741680937138,-1.2872664242022207,-1.2371159290303804,0.26409994597869446
