player,bleu,rouge_l,meteor,verbatim,bleurt,elo_rating,combined_score
sup4_ppo_rm3_kl6,0.0016430425949308133,0.13804603497008475,0.07620387373088174,0.1288637824568502,0.0,1763.794133024458,0.06895134675054951
sup4_6b_ppo_rm4_6b_kl14,8.067462384306005e-05,0.07583384104339207,0.034106133297535805,0.08103903265561274,0.0,1653.7572823463686,0.03821193632407674
ref,0.0004675988492627735,0.1081937544607594,0.05758947526271037,0.10559465647297578,0.0,1639.6122568715737,0.054369097009141665
sup4_ppo_rm3_kl22,0.0019665463288920386,0.13134697286199748,0.07267936969049674,0.12330583980507916,0.0,1638.0178475318799,0.06585974573729309
sup4_ppo_rm3_kl9,0.0013393095225566764,0.13519443004066464,0.07417579838626852,0.1259914025394935,0.0,1590.6556994003902,0.06734018809779667
sup4_ppo_rm3_kl69,0.0007291935991241169,0.10687855318973936,0.05670610512954109,0.1022762357385855,0.0,1557.360064256425,0.053318017531398025
sup4_ppo_rm3_kl10,0.0011288838948009291,0.13654051822881852,0.0758100261097178,0.13032264467212246,0.0,1544.5022194089768,0.06876041458109194
human_editor,0.00010027755279647243,0.09835356270566857,0.04826854894132008,0.08426209961706649,0.0,1541.2637898756468,0.046196897763370326
sup4_ppo_rm3_kl2,0.0014027598936326017,0.1319874039871189,0.0707071799306232,0.12138062321139058,0.0,1517.869595011687,0.06509559340455306
sup4_t0.7,0.0012189054053445547,0.12239976620201358,0.06284488192043686,0.11051414559951368,0.0,1395.276115329457,0.05939553982546174
pretrain_6b_t.7,1.2865119104845654e-05,0.06722030893204031,0.028693541469194225,0.06662607687818327,0.0,1393.0195730401651,0.03251055847970453
sup4_6b_t0.7,2.485063194562151e-06,0.05709658425312595,0.024312204205198158,0.059135714005827185,0.0,1332.2475820500078,0.028109397505469175
sup4_ppo_rm3_kl260,3.721918952611161e-05,0.03999656044332399,0.019465311565277144,0.038638561368028235,0.0,932.6238418529573,0.019627530513231097
